WO,Machine_categori,Machine_description,Instruction,Short_description,Technicians_description,Spareparts,Costumer_mistake_mads,Invoiced
WO040138,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen melder stempelfejl ,Maskinen melder stempelfejl,,126676,Nej,Nej
WO040158,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Skærmen flimrer øverste venstre hjørne Genstart er forsøgt ,Skærmen flimrer øverste venstre hjørne Genstart er forsøgt,Kode til tekniker Skærm blinker Se løsningsforslag i fejlkodedokumentet Der er skiftet batteri d 7 7 22 på WO017619,,Nej,Nej
WO040139,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Vil ikke registrere rød rensenøgle Mener at den måske er knækket ,Vil ikke registrere rød rensenøgle Mener at den måske er knækket,,133555,Ja,Nej
WO040148,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Vil ikke udlevere kaffe Ingen fejlmeddelelser Udleverer fint tevand men beder om rengøring igen og igen ,Vil ikke udlevere kaffe Ingen fejlmeddelelser Udleverer fint tevand men beder om rengøring igen og igen,,,Måske,Nej
WO039943,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine i det lille køkken Der er mug i mælkeslange kan ikke vaskes væk ,Maskine i det lille køkkenDer er mug i mælkeslange kan ikke vaskes væk,Ring til Helle tlf 32531444 SOH Koptæller viser 2119 Der er brugt 1 meter og 30 cm Slange ,140720,Ja,Nej
WO040078,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Kaffen udleveres imellem det sorte plastik der holder kaffeudløbet og det sølvfarvet plastik der er helt foran på udleveringshovedet Se billede Kaffeudløb er muligvis blevet væk ,Kaffen udleveres imellem det sorte plastik der holder kaffeudløbet og det sølvfarvet plastik der er helt foran på udleveringshovedet Se billede Kaffeudløb er muligvis blevet væk,Se billede N B Billede er ikke fra denne kunde ,126257,Ja,Ja
WO040110,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Vand løber ud af maskinen når de kører rengøring ,Vand løber ud af maskinen når de kører rengøring,,134385;127140,Nej,Nej
WO040098,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Slår HPFI Kontakt Camilla ved besøg ,Slår HPFI Kontakt Camilla ved besøg,oprettet jf CD  Det var en fejl fra fabrikken ,,Nej,Nej
WO040081,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vandflowfejl kommer og vil ikke udlevere noget Skulle være åbent for vand ,Vandflowfejl kommer og vil ikke udlevere noget Skulle være åbent for vand,,,Nej,Nej
WO040012,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Løber meget vand ud fortil ved rens Har selv tjekket spilbakke og spændt en slange ,Løber meget vand ud fortil ved rens Har selv tjekket spilbakke og spændt en slange,Fik ikke anmelders navn måske Anton tlf 88822222,107944;107944,Nej,Nej
WO039997,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Er stadig utæt efter serviceeftersyn Kørte også på utæthed 15 1 som var efter servicebesøg ,Er stadig utæt efter serviceeftersyn Kørte også på utæthed 15 1 som var efter servicebesøg,,127135;127751,Nej,Nej
WO040037,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Kode til tekniker Maskinen registrere ikke kafferensetabs Piston er knækket Se løsningsforslag i fejlkodedokumentet,133555,Ja,Nej
WO040025,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til under mixerskål for kakao ,Stopper til under mixerskål for kakao,Kode til tekniker Kakao flyder over Kakaotragten er forsøgt rengjort Se løsningsforslag i fejlkodedokumentet,,Ja,Ja
WO039972,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder vand flowfejl ,Melder vand flowfejl,Meld ind af AA pr mail ,129070;127076;115953,Nej,Nej
WO040007,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskine melder vandflow fejl og sprøjter meget ved udlevering Kommer næsten ingenting i koppen ,Maskine melder vandflow fejl og sprøjter meget ved udlevering Kommer næsten ingenting i koppen,Min fejl glemte at lufte kalk filter ud,,Nej,Nej
WO039975,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Vil ikke udlevere kakao Rengøring har forsøgt at skille kakao ad ,Vil ikke udlevere kakao Rengøring har forsøgt at skille kakao ad,,127732,Ja,Nej
WO039962,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS, Der skal indlæses pauseskræm Find billedet i teams fælles recepter og kaffestandarder Maskinen er utæt som drypper vand på bordet , Der skal indlæses pauseskræm Find billedet i teams fælles recepter og kaffestandarder… Maskinen er utæt som drypper vand på bordet,INFO Maskine har fået 30K eftersyn d 23 11 2023 ,127140,Nej,Nej
WO039978,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Skærmen blinker flimrer er genstartet flere gange uden det hjælper ,Skærmen blinker flimrer er genstartet flere gange uden det hjælper,Kode til tekniker Skærm blinker Se løsningsforslag i fejlkodedokumentet,,Nej,Nej
WO039941,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Melder flowerror efter der er taget tevand ,Melder flowerror efter der er taget tevand,,1449089;108082;127140,Nej,Nej
WO039892,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Der er takten til cacao der er stoppet når den køre rense program stopper den mellem 7 8 og så bliver den oversvømmet så der løber meget vand ud ud af den Og hvis man trækker cacao så kommer der ikke noget ud det bliver fanget i tragten ,Der er takten til cacao der er stoppet når den køre rense program stopper den mellem 7 8 og så bliver den oversvømmet så der løber meget vand ud ud af den Og hvis man trækker cacao så kommer der ikke noget ud det bliver fanget i tragten,Meldt ind af Pia fra Kontra ,,Ja,Nej
WO039959,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Skummer ikke mælken rigtigt ,Skummer ikke mælken rigtigt,ASA Indmeldt af AA,,Nej,Nej
WO039928,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Indmeldt af 23434499 pinden i den røde rensenøgle er knækket ,Indmeldt af 23434499 pinden i den røde rensenøgle er knækket,Det haster for kunden de kan ikke sælge kaffe før vi har været forbi men jeg har ikke lovet dem noget ,133555,Ja,Ja
WO039931,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,,133555,Ja,Nej
WO039882,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Stopper til i mixerskål for kakao Rengøring er forsøgt ,Stopper til i mixerskål for kakao Rengøring er forsøgt,,,Ja,Ja
WO039848,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Når de tager kaffe løber der vand ud under maskinen ,Når de tager kaffe løber der vand ud under maskinen,ASA Vi har 2 tidligere kørsler på at den er utæt under bunden ,127140,Nej,Nej
WO039853,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Er ude af drift kan ikke køre rengøringsprogram på den da der løber vand ud af maskinen Ved rengøring i morges løb der meget vand ud på bordet Rensebeholder bliver også helt fyldt ved rengøringsprogram Vi var tidligere ude på utæthed og den er stadig utæt i løbet af dagen ,Er ude af drift kan ikke køre rengøringsprogram på den da der løber vand ud af maskinenVed rengøring i morges løb der meget vand ud på bordetRensebeholder bliver også helt fyldt ved rengøringsprogramVi var tidligere ude på utæthed og den er stadig utæt i løbet af dagen,,136318;125723;126284;127140,Nej,Nej
WO039855,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Maskinen er utæt under bunden,Maskinen er utæt under bunden,,127140,Nej,Nej
WO039869,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Drypper vand under maskine forrest både under rengøring og i løbet af dagen Drypbakke er helt inde på plads ,Drypper vand under maskine forrest både under rengøring og i løbet af dagen Drypbakke er helt inde på plads,,,Ja,Ja
WO039756,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Kommer ingen kakao flyder over inde i maskine og ligner motor er tilstoppet ,Kommer ingen kakao flyder over inde i maskine og ligner motor er tilstoppet,,,Ja,Nej
WO039812,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Melder at bønnebeholder 2 er tom Er fyldt og forsøgt at efter ved beholder ,Melder at bønnebeholder 2 er tom Er fyldt og forsøgt at efter ved beholder,Stammer formentlig fra kaffepose se vedhæftet billede,,Ja,Ja
WO039817,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Udlevere ud af 1 dyse Udlevere meget langsomt Har forsøgt med rengøring uden held ,Udlevere ud af 1 dyse Udlevere meget langsomt Har forsøgt med rengøring uden held,,,Nej,Nej
WO039806,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Efter service i forgårs smager kaffen mærkeligt Som om der ikke kommer nok bønner i ,Efter service i forgårs smager kaffen mærkeligt Som om der ikke kommer nok bønner i,,,Nej,Nej
WO039778,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Skriver igen mælketemperatur for høj selvom det er en ny kold mælk de sætter i ,Skriver igen mælketemperatur for høj selvom det er en ny kold mælk de sætter i,Obs på at sidste besøg fandt vi ingen fejl og at Pia fra kontra har indmeldt denne sag i forhold til serviceaftale ,,Ja,Ja
WO039743,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Renseprogram stopper og kører ikke færdigt har opløst tabletter Oplyst de kan forsøge med en genstart ,Renseprogram stopper og kører ikke færdigt har opløst tabletterOplyst de kan forsøge med en genstart,BCA Skal ikke faktureres ifølge JOH,127605,Nej,Nej
WO039738,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Kommer vand ud under maskine ved rens ved højre ben forrest Spildbakke er sat helt ind billede i note hændelse ,Kommer vand ud under maskine ved rens ved højre ben forrest Spildbakke er sat helt ind billede i note hændelse,,,Måske,Nej
WO039591,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Cacaobeholder defekt,Cacaobeholder defekt,,,Måske,Nej
WO039735,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine står og drypper ved kabel i venstre side ,Maskine står og drypper ved kabel i venstre side,,127140,Nej,Nej
WO039741,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke registrere røde rensenøgle Ligner at pind er knækket ,Vil ikke registrere røde rensenøgle Ligner at pind er knækket,,133555,Ja,Nej
WO039732,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke ,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,Anna har skrevet ind pr mail at efter serviceeftersyn er drikkene ikke det samme ,,Nej,Nej
WO039732,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke ,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,Anna har skrevet ind pr mail at efter serviceeftersyn er drikkene ikke det samme ,,Nej,Nej
WO039726,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,System starter ikke op og grumseskuffe mangler ,System starter ikke op og grumseskuffe mangler,Oprettet for PAF,105694,Måske,Nej
WO039641,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Oplever stadig at der kommer meget vand ud under maskine ved rens ,Oplever stadig at der kommer meget vand ud under maskine ved rens,,127140,Nej,Nej
WO039359,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Konstant mislyd laver hele tiden en høj summe brummelyd ,Konstant mislyd laver hele tiden en høj summe brummelyd,Bestilt ny CPU blæser ,128610,Nej,Nej
WO039282,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Fra mail Der bliver ved med at komme meget vand ned i skuffen og det er ikke bare dråber Peter talte om sidst han var ombord og kigge på samme problem at det muligvis var et modul der skulle skiftes Vi er i Hirtshals mandag + onsdag + fredag i næste uge fra 08 00 09 00,Fra mail Der bliver ved med at komme meget vand ned i skuffen og det er ikke bare dråber Peter talte om sidst han var ombord og kigge på samme problem at det muligvis var et modul der skulle skiftes Vi er i Hirtshals mandag + onsdag + fredag i næste uge fra 08000900,Brygmodul 100028910B,125033R,Nej,Nej
WO039631,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskinen melder vandflow fejl  Der ligger også en regen og så beder maskinen også om service nu så jeg har ligeledes trukket et eftersyn ,Maskinen melder vandflow fejl Der ligger også en regen og så beder maskinen også om service nu så jeg har ligeledes trukket et eftersyn,,115953;115953,Nej,Nej
WO039635,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Når de tager kaffe melder den vandflowfejl Kan godt skylle ,Når de tager kaffe melder den vandflowfejl Kan godt skylle,ASA Fik ikke helt fat i indmelders navn måske Ninne kvinde ringede fra tlf 25282826 ,,Nej,Nej
WO039616,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Waterflow error ,Waterflow error,,,Nej,Nej
WO039602,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker vand ved kakao og larmer meget ved bryg af kakao Udleverer ingen kakao Kan fint brygge kaffe ,Lækker vand ved kakao og larmer meget ved bryg af kakao Udleverer ingen kakao Kan fint brygge kaffe,,,Ja,Nej
WO039578,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,OBS nyt firmanavn Solita Utæt og har en mærkelig lyd umiddelbart fra kakaodelen ,OBS nyt firmanavn SolitaUtæt og har en mærkelig lyd umiddelbart fra kakaodelen,SOH 22 1 24 Der er ikke umiddelbart ikke nogen utætheder at se Der er tørt inde i maskinen og ikke noget vand på bordet efter at der er taget 15 20 produkter Ingen mislyd at høre  ASA Jeg har givet salgssupport info om nyt firmanavn så det kan ændres i systemet ,,Ja,Nej
WO039575,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Giver kun 80% af den ønskede mængde set på drikken kaffe ,Giver kun 80% af den ønskede mængde set på drikken kaffe,,119414,Nej,Nej
WO039594,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Mælkeføler virker ikke korrekt ,Mælkeføler virker ikke korrekt,,127166,Nej,Nej
WO039581,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen vil ikke starte op har været stoppet i afløbsslange men pedellen har renset den men nu kan de ikke få gang i den ,Maskinen vil ikke starte op har været stoppet i afløbsslange men pedellen har renset den men nu kan de ikke få gang i den,,115953,Nej,Nej
WO039562,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Mælketemperatur er for høj de har prøvet at sætte ny kold mælk ind ,Mælketemperatur er for høj de har prøvet at sætte ny kold mælk ind,ASA OBS der er ingen serviceaftale Vær obs på at der lægges rabatter iht kontras priser Er indmeldt af Pia fra Kontra,,Ja,Nej
WO039484,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao er meget kold,Kakao er meget kold,BCA Da der ikke har været udkald i et år er denne ikke faktureret,,Ja,Nej
WO039510,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine er utæt under rens Smider vand på bordet De har slukket for maskinen ,Maskine er utæt under rens Smider vand på bordet De har slukket for maskinen,,127751,Nej,Nej
WO039478,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,indmeldt af JOH afløbsslangen skyder vand bagud hver anden gang han gør rent er der vand over det hele Note Laver også en indstilling af udstyr Ny kaffe Tages samtidig Kaffen lander forhåbentlig torsdag ,indmeldt af JOH afløbsslangen skyder vand bagud hver anden gang han gør rent er der vand over det hele Note Laver også en indstilling af udstyr Ny kaffe Tages samtidig Kaffen lander forhåbentlig torsdag,Ring gerne til Frank og aftal ankomst så vi ikke kører forgæves grundet vejrets omskiftelighed ,,Måske,Nej
WO039544,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sprøjter vand ud på gulvet fra udløb ved skyl ,Sprøjter vand ud på gulvet fra udløb ved skyl,,126257,Måske,Nej
WO039526,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer mere og mere vand fra udløbs ved spildbakke ,Kommer mere og mere vand fra udløbs ved spildbakke,,,Nej,Nej
WO039521,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fra mail Den kan ikke lave kakao det er som der sidder noget fast ,Fra mail Den kan ikke lave kakao det er som der sidder noget fast,,,Ja,Nej
WO039537,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,I forbindelse med rengøring løber der vand ud under bunden af maskinen Kommer umiddelbart fra venstre side Der er fint med rengøringsvand i rengøringsbeholder i køl så det er sikkert ikke det vand der er under maskinen Drypbakke er skubbet helt ind imod maskinen ,I forbindelse med rengøring løber der vand ud under bunden af maskinen Kommer umiddelbart fra venstre side Der er fint med rengøringsvand i rengøringsbeholder i køl så det er sikkert ikke det vand der er under maskinen Drypbakke er skubbet helt ind imod maskinen,,,Måske,Nej
WO039509,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved rengøring vil maskine ikke registrere grumseskuffe kan derfor ikke starte program Forsøgt at genstarte og grumseskuffe er tørt af ,Ved rengøring vil maskine ikke registrere grumseskuffe kan derfor ikke starte program Forsøgt at genstarte og grumseskuffe er tørt af,,105694,Måske,Nej
WO039514,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ønsker besøg i dag Står og løber vand ud bag ved maskiner Kan ikke se om det er fra den enen eller anden maskine Vand løber ned på 4 sal og forsøger at lukke for vandet og maskiner ,Ønsker besøg i dag Står og løber vand ud bag ved maskiner Kan ikke se om det er fra den enen eller anden maskine Vand løber ned på 4 sal og forsøger at lukke for vandet og maskiner,,,Ja,Ja
WO039501,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskine opløser ikke blå rensetabletter ,Maskine opløser ikke blå rensetabletter,Meldt ind til AA,126257;127791,Nej,Nej
WO039456,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao defekt og svømmer over,Kakao defekt og svømmer over,,,Ja,Ja
