WO,Maskinkategori,Maskinbeskrivelse,Instruktion,Short_description,Teknikker_description,Reservedele,Kundefejl_mads,Faktureret
WO039743,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Renseprogram stopper og kører ikke færdigt har opløst tabletterOplyst de kan forsøge med en genstart,Renseprogram stopper og kører ikke færdigt har opløst tabletterOplyst de kan forsøge med en genstart,Renseprogram stopper og kører ikke færdigt har opløst tabletterOplyst de kan forsøge med en genstart,127605,Nej,Nej
WO039738,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Kommer vand ud under maskine ved rens ved højre ben forrest Spildbakke er sat helt ind billede i note hændelse,Kommer vand ud under maskine ved rens ved højre ben forrest Spildbakke er sat helt ind billede i note hændelse,Kommer vand ud under maskine ved rens ved højre ben forrest Spildbakke er sat helt ind billede i note hændelse,,Måske,Nej
WO039591,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Cacaobeholder defekt,Cacaobeholder defekt,Cacaobeholder defekt,,Måske,Nej
WO039735,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine står og drypper ved kabel i venstre side,Maskine står og drypper ved kabel i venstre side,Maskine står og drypper ved kabel i venstre side,127140,Nej,Nej
WO039741,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Vil ikke registrere røde rensenøgle Ligner at pind er knækket,Vil ikke registrere røde rensenøgle Ligner at pind er knækket,Vil ikke registrere røde rensenøgle Ligner at pind er knækket,133555,Ja,Nej
WO039732,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,,Nej,Nej
WO039732,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,Efter besøg er størrelserne på kafferne mindre og mælken er ikke steamet rigtig mælkeskum fungerer ikke,,Nej,Nej
WO039726,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,System starter ikke op og grumseskuffe mangler,System starter ikke op og grumseskuffe mangler,System starter ikke op og grumseskuffe mangler,105694,Måske,Nej
WO039641,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Oplever stadig at der kommer meget vand ud under maskine ved rens,Oplever stadig at der kommer meget vand ud under maskine ved rens,Oplever stadig at der kommer meget vand ud under maskine ved rens,127140,Nej,Nej
WO039359,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Konstant mislyd laver hele tiden en høj summe brummelyd,Konstant mislyd laver hele tiden en høj summe brummelyd,Konstant mislyd laver hele tiden en høj summe brummelyd,128610,Nej,Nej
WO039282,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Fra mail Der bliver ved med at komme meget vand ned i skuffen og det er ikke bare dråber Peter talte om sidst han var ombord og kigge på samme problem at det muligvis var et modul der skulle skiftes Vi er i Hirtshals mandag + onsdag + fredag i næste uge fra 08000900,Fra mail Der bliver ved med at komme meget vand ned i skuffen og det er ikke bare dråber Peter talte om sidst han var ombord og kigge på samme problem at det muligvis var et modul der skulle skiftes Vi er i Hirtshals mandag + onsdag + fredag i næste uge fra 08000900,Fra mail Der bliver ved med at komme meget vand ned i skuffen og det er ikke bare dråber Peter talte om sidst han var ombord og kigge på samme problem at det muligvis var et modul der skulle skiftes Vi er i Hirtshals mandag + onsdag + fredag i næste uge fra 08000900,125033R,Nej,Nej
WO039631,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskinen melder vandflow fejl  Der ligger også en regen og så beder maskinen også om service nu så jeg har ligeledes trukket et eftersyn,Maskinen melder vandflow fejl  Der ligger også en regen og så beder maskinen også om service nu så jeg har ligeledes trukket et eftersyn,Maskinen melder vandflow fejl  Der ligger også en regen og så beder maskinen også om service nu så jeg har ligeledes trukket et eftersyn,115953;115953,Nej,Nej
WO039635,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Når de tager kaffe melder den vandflowfejl Kan godt skylle,Når de tager kaffe melder den vandflowfejl Kan godt skylle,Når de tager kaffe melder den vandflowfejl Kan godt skylle,,Nej,Nej
WO039616,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Waterflow error,Waterflow error,Waterflow error,,Nej,Nej
WO039602,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Lækker vand ved kakao og larmer meget ved bryg af kakao Udleverer ingen kakao Kan fint brygge kaffe,Lækker vand ved kakao og larmer meget ved bryg af kakao Udleverer ingen kakao Kan fint brygge kaffe,Lækker vand ved kakao og larmer meget ved bryg af kakao Udleverer ingen kakao Kan fint brygge kaffe,,Ja,Nej
WO039578,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,OBS nyt firmanavn SolitaUtæt og har en mærkelig lyd umiddelbart fra kakaodelen,OBS nyt firmanavn SolitaUtæt og har en mærkelig lyd umiddelbart fra kakaodelen,OBS nyt firmanavn SolitaUtæt og har en mærkelig lyd umiddelbart fra kakaodelen,,Ja,Nej
WO039575,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Giver kun 80% af den ønskede mængde set på drikken kaffe,Giver kun 80% af den ønskede mængde set på drikken kaffe,Giver kun 80% af den ønskede mængde set på drikken kaffe,119414,Nej,Nej
WO039594,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Mælkeføler virker ikke korrekt,Mælkeføler virker ikke korrekt,Mælkeføler virker ikke korrekt,127166,Nej,Nej
WO039581,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Maskinen vil ikke starte op har været stoppet i afløbsslange men pedellen har renset den men nu kan de ikke få gang i den,Maskinen vil ikke starte op har været stoppet i afløbsslange men pedellen har renset den men nu kan de ikke få gang i den,Maskinen vil ikke starte op har været stoppet i afløbsslange men pedellen har renset den men nu kan de ikke få gang i den,115953,Nej,Nej
WO039562,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Mælketemperatur er for høj de har prøvet at sætte ny kold mælk ind,Mælketemperatur er for høj de har prøvet at sætte ny kold mælk ind,Mælketemperatur er for høj de har prøvet at sætte ny kold mælk ind,,Ja,Nej
WO039484,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao er meget kold,Kakao er meget kold,Kakao er meget kold,,Ja,Nej
WO039510,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Maskine er utæt under rens Smider vand på bordet De har slukket for maskinen,Maskine er utæt under rens Smider vand på bordet De har slukket for maskinen,Maskine er utæt under rens Smider vand på bordet De har slukket for maskinen,127751,Nej,Nej
WO039478,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,indmeldt af JOH afløbsslangen skyder vand bagud hver anden gang han gør rent er der vand over det hele Note Laver også en indstilling af udstyr Ny kaffe Tages samtidig Kaffen lander forhåbentlig torsdag,indmeldt af JOH afløbsslangen skyder vand bagud hver anden gang han gør rent er der vand over det hele Note Laver også en indstilling af udstyr Ny kaffe Tages samtidig Kaffen lander forhåbentlig torsdag,indmeldt af JOH afløbsslangen skyder vand bagud hver anden gang han gør rent er der vand over det hele Note Laver også en indstilling af udstyr Ny kaffe Tages samtidig Kaffen lander forhåbentlig torsdag,,Måske,Nej
WO039544,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Sprøjter vand ud på gulvet fra udløb ved skyl,Sprøjter vand ud på gulvet fra udløb ved skyl,Sprøjter vand ud på gulvet fra udløb ved skyl,126257,Måske,Nej
WO039526,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer mere og mere vand fra udløbs ved spildbakke,Kommer mere og mere vand fra udløbs ved spildbakke,Kommer mere og mere vand fra udløbs ved spildbakke,,Nej,Nej
WO039521,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Fra mail Den kan ikke lave kakao det er som der sidder noget fast,Fra mail Den kan ikke lave kakao det er som der sidder noget fast,Fra mail Den kan ikke lave kakao det er som der sidder noget fast,,Ja,Nej
WO039537,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,I forbindelse med rengøring løber der vand ud under bunden af maskinen Kommer umiddelbart fra venstre side Der er fint med rengøringsvand i rengøringsbeholder i køl så det er sikkert ikke det vand der er under maskinen Drypbakke er skubbet helt ind imod maskinen,I forbindelse med rengøring løber der vand ud under bunden af maskinen Kommer umiddelbart fra venstre side Der er fint med rengøringsvand i rengøringsbeholder i køl så det er sikkert ikke det vand der er under maskinen Drypbakke er skubbet helt ind imod maskinen,I forbindelse med rengøring løber der vand ud under bunden af maskinen Kommer umiddelbart fra venstre side Der er fint med rengøringsvand i rengøringsbeholder i køl så det er sikkert ikke det vand der er under maskinen Drypbakke er skubbet helt ind imod maskinen,,Måske,Nej
WO039509,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Ved rengøring vil maskine ikke registrere grumseskuffe kan derfor ikke starte program Forsøgt at genstarte og grumseskuffe er tørt af,Ved rengøring vil maskine ikke registrere grumseskuffe kan derfor ikke starte program Forsøgt at genstarte og grumseskuffe er tørt af,Ved rengøring vil maskine ikke registrere grumseskuffe kan derfor ikke starte program Forsøgt at genstarte og grumseskuffe er tørt af,105694,Måske,Nej
WO039514,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 TC,Ønsker besøg i dag Står og løber vand ud bag ved maskiner Kan ikke se om det er fra den enen eller anden maskine Vand løber ned på 4 sal og forsøger at lukke for vandet og maskiner,Ønsker besøg i dag Står og løber vand ud bag ved maskiner Kan ikke se om det er fra den enen eller anden maskine Vand løber ned på 4 sal og forsøger at lukke for vandet og maskiner,Ønsker besøg i dag Står og løber vand ud bag ved maskiner Kan ikke se om det er fra den enen eller anden maskine Vand løber ned på 4 sal og forsøger at lukke for vandet og maskiner,,Ja,Ja
WO039501,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS TC,Maskine opløser ikke blå rensetabletter,Maskine opløser ikke blå rensetabletter,Maskine opløser ikke blå rensetabletter,126257;127791,Nej,Nej
WO039456,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao defekt og svømmer over,Kakao defekt og svømmer over,Kakao defekt og svømmer over,,Ja,Ja
WO039448,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,Røde pind bag rensenøgle er knækket,133555;133555,Ja,Ja
WO039381,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P TC,Maskine i seaview Røde pind bag rensenøgle er knækketEr i dock i Munkebo frem til d 18 1Beskrivelse af placering Seaview er vores Bar i fronten på dæk 7 Den der hed Fjordlounge førhen,Maskine i seaview Røde pind bag rensenøgle er knækketEr i dock i Munkebo frem til d 18 1Beskrivelse af placering Seaview er vores Bar i fronten på dæk 7 Den der hed Fjordlounge førhen,Maskine i seaview Røde pind bag rensenøgle er knækketEr i dock i Munkebo frem til d 18 1Beskrivelse af placering Seaview er vores Bar i fronten på dæk 7 Den der hed Fjordlounge førhen,133555,Ja,Nej
WO039441,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Vil ikke udlevere kakao og lyder til at motor kører fast ikke kan køre rundt,Vil ikke udlevere kakao og lyder til at motor kører fast ikke kan køre rundt,Vil ikke udlevere kakao og lyder til at motor kører fast ikke kan køre rundt,131816,Måske,Nej
WO039377,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Rengøring stopper og loader i 15 time Efter forsøgt genstart ser kunde at tabletter er opløst men beder nu om rengøring igen,Rengøring stopper og loader i 15 time Efter forsøgt genstart ser kunde at tabletter er opløst men beder nu om rengøring igen,Rengøring stopper og loader i 15 time Efter forsøgt genstart ser kunde at tabletter er opløst men beder nu om rengøring igen,,Måske,Nej
WO038726,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Kun tlf support hvis muligt Ingen kørsel Kontakt Niels Spørger efter hjælp til indstilling af mængde på espresso og cappuccino da den fylder alt for meget i disse,Kun tlf support hvis muligt Ingen kørsel Kontakt Niels Spørger efter hjælp til indstilling af mængde på espresso og cappuccino da den fylder alt for meget i disse,Kun tlf support hvis muligt Ingen kørsel Kontakt Niels Spørger efter hjælp til indstilling af mængde på espresso og cappuccino da den fylder alt for meget i disse,,Nej,Ja
WO039330,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kan ikke gennemføre rengøringsprogram efter genstart melder maskinen systemtid beskadiget,Kan ikke gennemføre rengøringsprogram efter genstart melder maskinen systemtid beskadiget,Kan ikke gennemføre rengøringsprogram efter genstart melder maskinen systemtid beskadiget,02816,Nej,Nej
WO039285,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kakao flyder over mixerskål og bliver fyldt med vand har forsøgt med rengøring i går men fejler igen i dag *** Kan ikke gennemføre rengøringsprogram efter genstart melder maskinen systemtid beskadiget **,Kakao flyder over mixerskål og bliver fyldt med vand har forsøgt med rengøring i går men fejler igen i dag *** Kan ikke gennemføre rengøringsprogram efter genstart melder maskinen systemtid beskadiget **,Kakao flyder over mixerskål og bliver fyldt med vand har forsøgt med rengøring i går men fejler igen i dag *** Kan ikke gennemføre rengøringsprogram efter genstart melder maskinen systemtid beskadiget **,02816,Ja,Ja
WO039287,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS,Drypper fra waterblockerMælkeslangen skal skiftes har sorte pletter der ikke kan rengøres,Drypper fra waterblockerMælkeslangen skal skiftes har sorte pletter der ikke kan rengøres,Drypper fra waterblockerMælkeslangen skal skiftes har sorte pletter der ikke kan rengøres,406-00468;127166,Nej,Nej
WO039331,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,Melder flowfejl Der er også regenerering på denne maskine,Melder flowfejl Der er også regenerering på denne maskine,Melder flowfejl Der er også regenerering på denne maskine,,Nej,Nej
WO039379,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Kommer meget mælk i cappuccino og ingen skum Evt tjekke andre drikke med mælk stemmer med mængden,Kommer meget mælk i cappuccino og ingen skum Evt tjekke andre drikke med mælk stemmer med mængden,Kommer meget mælk i cappuccino og ingen skum Evt tjekke andre drikke med mælk stemmer med mængden,120701,Nej,Nej
WO039348,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Under rens fosser vandet ud under maskinen Kd har tjekket at drypbakken sidder korrekt,Under rens fosser vandet ud under maskinen Kd har tjekket at drypbakken sidder korrekt,Under rens fosser vandet ud under maskinen Kd har tjekket at drypbakken sidder korrekt,,Måske,Nej
WO039353,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Ring Julie hvis ikke besøg i dag Maskinen vil ikke registrere den røde nøgle ved rengøring Der er knækket et rødt stykke af,Ring Julie hvis ikke besøg i dag Maskinen vil ikke registrere den røde nøgle ved rengøring Der er knækket et rødt stykke af,Ring Julie hvis ikke besøg i dag Maskinen vil ikke registrere den røde nøgle ved rengøring Der er knækket et rødt stykke af,133555,Ja,Nej
WO039306,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Melder flowerror,Melder flowerror,Melder flowerror,132878;132102,Nej,Nej
WO039302,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P RS TC,Drypper under maskine efter sidste besøg,Drypper under maskine efter sidste besøg,Drypper under maskine efter sidste besøg,120701,Nej,Nej
WO039307,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Den lægger vand når den bliver rengjort og man kan ikke bruge kakaoen på den for så laver den problemer,Den lægger vand når den bliver rengjort og man kan ikke bruge kakaoen på den for så laver den problemer,Den lægger vand når den bliver rengjort og man kan ikke bruge kakaoen på den for så laver den problemer,128896;127140,Nej,Nej
WO039309,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2 RS,kan ikke kværne kaffen,kan ikke kværne kaffen,kan ikke kværne kaffen,132102,Nej,Nej
WO038922,BW4c CTM2 P,Thermoplan Kaffemaskine BW4c CTM2 P,Sort kaffe smager og dufter af opvaskevand,Sort kaffe smager og dufter af opvaskevand,Sort kaffe smager og dufter af opvaskevand,,Ja,Nej
WO039275,BW4c CTM2 PF,Thermoplan Kaffemaskine BW4c CTM2 PF RS TC,Kakao sidder fast længere nede end de kan gøre rent og den udleverer ingen kakao,Kakao sidder fast længere nede end de kan gøre rent og den udleverer ingen kakao,Kakao sidder fast længere nede end de kan gøre rent og den udleverer ingen kakao,124748,Ja,Ja
WO039277,BW4c CTM2,Thermoplan Kaffemaskine BW4c CTM2,Melder vandflow fejl der er tændt for vandet ,Melder vandflow fejl der er tændt for vandet ,Melder vandflow fejl der er tændt for vandet ,,Nej,Nej
